gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
746950,2024-06-05,3,Fenway Park,111,144,601713,680885
746379,2024-06-05,2392,Minute Maid Park,117,138,669854,571945
746544,2024-06-05,19,Coors Field,115,113,641712,668933
747195,2024-06-05,15,Chase Field,109,137,656756,663855
744852,2024-06-05,3309,Nationals Park,120,121,571578,622663
745570,2024-06-05,2681,Citizens Bank Park,143,158,605400,676879
745494,2024-06-05,31,PNC Park,134,119,694973,572020
746056,2024-06-05,4169,loanDepot park,146,139,666129,621107
745740,2024-06-05,3313,Yankee Stadium,147,142,607074,663978
744927,2024-06-05,14,Rogers Centre,141,110,621244,544150
745007,2024-06-05,5325,Globe Life Field,140,116,570632,628317
746873,2024-06-05,17,Wrigley Field,112,145,592791,607200
746221,2024-06-05,1,Angel Stadium,108,135,667755,656302
745654,2024-06-05,10,Oakland Coliseum,133,136,683155,669302
746628,2024-06-05,5,Progressive Field,114,118,680704,663903
