gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824269,2026-06-06,2394,Comerica Park,116,136,672456,682243
823697,2026-06-06,3312,Target Field,142,118,657746,679883
823048,2026-06-06,2889,Busch Stadium,138,113,669461,666157
824669,2026-06-06,17,Wrigley Field,112,137,676962,694738
822808,2026-06-06,14,Rogers Centre,141,110,680755,680694
823454,2026-06-06,2681,Citizens Bank Park,143,145,691725,685126
825075,2026-06-06,15,Chase Field,109,120,593958,641793
824184,2026-06-06,2392,Daikin Park,117,133,837227,695034
824915,2026-06-06,4705,Truist Park,144,134,675911,677952
823859,2026-06-06,4169,loanDepot park,146,139,669199,663556
822891,2026-06-06,5325,Globe Life Field,140,114,683004,676440
824351,2026-06-06,19,Coors Field,115,158,688642,694819
823942,2026-06-06,22,UNIQLO Field at Dodger Stadium,119,108,808967,686799
823292,2026-06-06,2680,Petco Park,135,121,656288,690997
823539,2026-06-06,3313,Yankee Stadium,147,111,701542,624133
