gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
777924,2025-05-14,2,Oriole Park at Camden Yards,110,142,665152,641927
777938,2025-05-14,2,Oriole Park at Camden Yards,110,142,694646,680573
777922,2025-05-14,2681,Citizens Bank Park,143,138,666200,607200
777933,2025-05-14,2681,Citizens Bank Park,143,138,605400,543243
777925,2025-05-14,5,Progressive Field,114,158,668909,701656
777916,2025-05-14,2395,Oracle Park,137,109,663855,593958
777915,2025-05-14,680,T-Mobile Park,136,147,622491,701542
777927,2025-05-14,2394,Comerica Park,116,111,669373,690928
777923,2025-05-14,14,Rogers Centre,141,139,605135,686752
777919,2025-05-14,3289,Citi Field,121,134,605280,663559
777928,2025-05-14,2602,Great American Ball Park,113,145,666157,663436
777929,2025-05-14,4705,Truist Park,144,120,693821,680730
777921,2025-05-14,17,Wrigley Field,112,146,592791,677960
777918,2025-05-14,5325,Globe Life Field,140,115,571578,622608
777920,2025-05-14,2392,Daikin Park,117,118,676467,547179
777914,2025-05-14,2680,Petco Park,135,108,681190,543294
777917,2025-05-14,22,Dodger Stadium,119,133,808967,680684
