gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
747022,2024-06-25,2,Oriole Park at Camden Yards,110,114,608344,671106
746454,2024-06-25,2394,Comerica Park,116,143,669373,624133
745076,2024-06-25,12,Tropicana Field,139,136,641793,622491
746697,2024-06-25,2602,Great American Ball Park,113,134,668881,656605
746943,2024-06-25,3,Fenway Park,111,141,678394,592332
745806,2024-06-25,3289,Citi Field,121,147,656849,543037
746372,2024-06-25,2392,Minute Maid Park,117,115,686613,596295
746775,2024-06-25,4,Guaranteed Rate Field,145,119,623167,676272
746293,2024-06-25,7,Kauffman Stadium,118,146,607625,630023
745973,2024-06-25,32,American Family Field,158,140,571948,571760
746213,2024-06-25,1,Angel Stadium,108,133,542881,687765
745399,2024-06-25,2680,Petco Park,135,120,800049,669022
747188,2024-06-25,15,Chase Field,109,142,694297,657746
745322,2024-06-25,2395,Oracle Park,137,112,678495,543294
745157,2024-06-25,2889,Busch Stadium,138,144,502043,625643
