gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
822970,2026-06-10,12,Tropicana Field,139,111,656876,687562
824428,2026-06-10,5,Progressive Field,114,147,800048,607074
823215,2026-06-10,2395,Oracle Park,137,120,592662,656492
823287,2026-06-10,2680,Petco Park,135,113,650633,663903
824831,2026-06-10,2,Oriole Park at Camden Yards,110,136,687064,669923
823372,2026-06-10,31,PNC Park,134,119,683003,660271
824266,2026-06-10,2394,Comerica Park,116,142,664285,702474
823856,2026-06-10,4169,loanDepot park,146,109,687473,669194
822804,2026-06-10,14,Rogers Centre,141,143,453286,666200
823618,2026-06-10,3289,Citi Field,121,138,681810,669467
824103,2026-06-10,7,Kauffman Stadium,118,140,607625,669022
824590,2026-06-10,4,Rate Field,145,144,663436,519242
824348,2026-06-10,19,Coors Field,115,112,547179,684007
824996,2026-06-10,5355,Las Vegas Ballpark,133,158,678022,687075
824022,2026-06-10,1,Angel Stadium,108,117,672282,663567
