gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
744932,2024-06-01,14,Rogers Centre,141,134,579328,656605
747029,2024-06-01,2,Oriole Park at Camden Yards,110,139,680694,671737
746952,2024-06-01,3,Fenway Park,111,116,681867,681857
746629,2024-06-01,5,Progressive Field,114,120,594902,680730
745812,2024-06-01,3289,Citi Field,121,109,640455,677944
746305,2024-06-01,7,Kauffman Stadium,118,135,679525,681190
746384,2024-06-01,2392,Minute Maid Park,117,142,664285,657746
747111,2024-06-01,4705,Truist Park,144,133,519242,605156
746062,2024-06-01,4169,loanDepot park,146,140,677960,547179
745980,2024-06-01,32,American Family Field,158,145,688107,676979
746870,2024-06-01,17,Wrigley Field,112,113,657006,668881
745251,2024-06-01,680,T-Mobile Park,136,108,682243,672282
745575,2024-06-01,2681,Citizens Bank Park,143,138,624133,543243
745332,2024-06-01,2395,Oracle Park,137,147,657277,547001
746138,2024-06-01,22,Dodger Stadium,119,115,808967,615698
