gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
823383,2026-05-14,31,PNC Park,134,115,682254,801403
824517,2026-05-14,2602,Great American Ball Park,113,120,695505,656492
823630,2026-05-14,3289,Citi Field,121,116,690997,672456
823709,2026-05-14,3312,Target Field,142,146,805673,666129
823789,2026-05-14,32,American Family Field,158,135,690986,656288
824196,2026-05-14,2392,Daikin Park,117,136,681347,622491
825008,2026-05-14,2529,Sutter Health Park,133,138,682052,700241
824762,2026-05-14,3,Fenway Park,111,143,624133,666200
824926,2026-05-14,4705,Truist Park,144,112,519242,676962
824602,2026-05-14,4,Rate Field,145,118,641743,663460
823950,2026-05-14,22,UNIQLO Field at Dodger Stadium,119,137,686218,694738
