gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824853,2026-04-14,2,Oriole Park at Camden Yards,110,109,669432,518876
824292,2026-04-14,2394,Comerica Park,116,118,664285,666142
823398,2026-04-14,31,PNC Park,134,120,656605,676571
824531,2026-04-14,2602,Great American Ball Park,113,137,663903,592662
823478,2026-04-14,2681,Citizens Bank Park,143,112,605400,702303
823562,2026-04-14,3313,Yankee Stadium,147,108,677960,672282
824935,2026-04-14,4705,Truist Park,144,146,625643,676974
823723,2026-04-14,3312,Target Field,142,111,690953,543243
824616,2026-04-14,4,Rate Field,145,139,702273,663556
823802,2026-04-14,32,American Family Field,158,141,694819,592332
823072,2026-04-14,2889,Busch Stadium,138,114,700241,676282
824210,2026-04-14,2392,Daikin Park,117,115,681293,547179
823315,2026-04-14,2680,Petco Park,135,136,650633,693433
825022,2026-04-14,2529,Sutter Health Park,133,140,605488,669022
823965,2026-04-14,22,UNIQLO Field at Dodger Stadium,119,121,808967,690997
