gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
745896,2024-06-12,3312,Target Field,142,115,641154,596295
745978,2024-06-12,32,American Family Field,158,141,668964,605135
745328,2024-06-12,2395,Oracle Park,137,117,657277,664285
745405,2024-06-12,2680,Petco Park,135,133,650633,663687
747028,2024-06-12,2,Oriole Park at Camden Yards,110,144,700249,680885
746462,2024-06-12,2394,Comerica Park,116,120,681857,663623
745079,2024-06-12,12,Tropicana Field,139,112,650644,665871
746701,2024-06-12,2602,Great American Ball Park,113,114,666157,676440
746948,2024-06-12,3,Fenway Park,111,143,601713,650911
745811,2024-06-12,3289,Citi Field,121,146,656849,666129
745171,2024-06-12,2889,Busch Stadium,138,134,543243,663559
746294,2024-06-12,7,Kauffman Stadium,118,147,656186,547001
747193,2024-06-12,15,Chase Field,109,108,677944,667755
745246,2024-06-12,680,T-Mobile Park,136,145,682243,686563
746137,2024-06-12,22,Dodger Stadium,119,140,621111,592351
