gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
745569,2024-06-03,2681,Citizens Bank Park,143,158,554430,657649
744854,2024-06-03,3309,Nationals Park,120,121,669022,656731
744930,2024-06-03,14,Rogers Centre,141,110,592332,680570
745009,2024-06-03,5325,Globe Life Field,140,116,543135,669373
746382,2024-06-03,2392,Minute Maid Park,117,138,434378,502043
746548,2024-06-03,19,Coors Field,115,113,663372,671096
746224,2024-06-03,1,Angel Stadium,108,135,542881,663362
747194,2024-06-03,15,Chase Field,109,137,669194,669062
