gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824821,2026-06-28,2,Oriole Park at Camden Yards,110,120,680694,641793
823362,2026-06-28,31,PNC Park,134,113,656605,663903
822795,2026-06-28,14,Rogers Centre,141,140,669456,677958
824256,2026-06-28,2394,Comerica Park,116,117,656427,686613
824422,2026-06-28,5,Progressive Field,114,136,668909,676106
822959,2026-06-28,12,Tropicana Field,139,109,656876,518876
823608,2026-06-28,3289,Citi Field,121,143,672335,666200
823686,2026-06-28,3312,Target Field,142,115,687570,663372
824580,2026-06-28,4,Rate Field,145,118,641743,679883
823769,2026-06-28,32,American Family Field,158,112,605540,669020
823037,2026-06-28,2889,Busch Stadium,138,146,681517,663969
824011,2026-06-28,1,Angel Stadium,108,133,691951,650644
823204,2026-06-28,2395,Oracle Park,137,144,592662,519242
823281,2026-06-28,2680,Petco Park,135,119,650633,686218
824744,2026-06-28,3,Fenway Park,111,147,543243,607074
