gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
745490,2024-06-17,31,PNC Park,134,113,694973,686730
745567,2024-06-17,2681,Citizens Bank Park,143,135,650911,681190
746055,2024-06-17,4169,loanDepot park,146,138,666129,543243
744918,2024-06-17,14,Rogers Centre,141,111,579328,601713
747108,2024-06-17,4705,Truist Park,144,116,608331,681857
746868,2024-06-17,17,Wrigley Field,112,137,665871,663855
745005,2024-06-17,5325,Globe Life Field,140,121,592351,656849
746543,2024-06-17,19,Coors Field,115,119,615698,572020
746215,2024-06-17,1,Angel Stadium,108,158,668676,692230
