gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824277,2026-05-18,2394,Comerica Park,116,114,664285,677944
822980,2026-05-18,12,Tropicana Field,139,110,663556,669432
823465,2026-05-18,2681,Citizens Bank Park,143,113,691725,666157
823867,2026-05-18,4169,loanDepot park,146,144,676974,702275
822734,2026-05-18,3309,Nationals Park,120,121,663623,681035
823549,2026-05-18,3313,Yankee Stadium,147,141,677960,571578
824114,2026-05-18,7,Kauffman Stadium,118,111,607625,543243
823705,2026-05-18,3312,Target Field,142,117,696070,837227
824680,2026-05-18,17,Wrigley Field,112,158,684007,687075
824357,2026-05-18,19,Coors Field,115,140,500779,669022
824035,2026-05-18,1,Angel Stadium,108,133,700712,669372
823301,2026-05-18,2680,Petco Park,135,119,650633,808967
825087,2026-05-18,15,Chase Field,109,137,668678,592662
823137,2026-05-18,680,T-Mobile Park,136,145,693433,702273
