gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824855,2026-04-15,2,Oriole Park at Camden Yards,110,109,680694,593958
823071,2026-04-15,2889,Busch Stadium,138,114,669160,677944
823722,2026-04-15,3312,Target Field,142,111,680573,813349
824291,2026-04-15,2394,Comerica Park,116,118,656427,607625
823399,2026-04-15,31,PNC Park,134,120,682254,663623
824532,2026-04-15,2602,Great American Ball Park,113,137,695076,641816
823477,2026-04-15,2681,Citizens Bank Park,143,112,666200,684007
823561,2026-04-15,3313,Yankee Stadium,147,108,661563,686799
824936,2026-04-15,4705,Truist Park,144,146,693821,663978
824615,2026-04-15,4,Rate Field,145,139,680732,669947
823803,2026-04-15,32,American Family Field,158,141,694477,656302
824209,2026-04-15,2392,Daikin Park,117,115,681293,500779
823314,2026-04-15,2680,Petco Park,135,136,681190,676106
825021,2026-04-15,2529,Sutter Health Park,133,140,669372,677958
823963,2026-04-15,22,UNIQLO Field at Dodger Stadium,119,121,660271,605280
