gamePk,inning,half,event_type,batter_id,pitcher_id,bat_team_id,at_bat_index
745507,1,top,double,501303,527048,108,0
745507,1,top,field_out,657061,527048,108,1
745507,1,top,field_out,621493,527048,108,2
745507,1,top,strikeout,607680,527048,108,3
745507,1,bottom,field_out,457705,667755,134,4
745507,1,bottom,strikeout,668804,667755,134,5
745507,1,bottom,single,665833,667755,134,6
745507,1,bottom,single,656582,667755,134,7
745507,1,bottom,strikeout,642133,667755,134,8
745507,2,top,field_out,681351,527048,108,9
745507,2,top,field_out,592273,527048,108,10
745507,2,top,field_out,641432,527048,108,11
745507,2,bottom,field_out,669707,667755,134,12
745507,2,bottom,double,669261,667755,134,13
745507,2,bottom,field_out,663698,667755,134,14
745507,2,bottom,field_out,675961,667755,134,15
745507,3,top,home_run,666176,527048,108,16
745507,3,top,single,687263,527048,108,17
745507,3,top,grounded_into_double_play,501303,527048,108,18
745507,3,top,strikeout,657061,527048,108,19
745507,3,bottom,field_out,457705,667755,134,20
745507,3,bottom,strikeout,668804,667755,134,21
745507,3,bottom,field_out,665833,667755,134,22
745507,4,top,field_out,621493,527048,108,23
745507,4,top,strikeout,607680,527048,108,24
745507,4,top,strikeout,681351,527048,108,25
745507,4,bottom,strikeout,656582,667755,134,26
745507,4,bottom,strikeout,642133,667755,134,27
745507,4,bottom,strikeout,669707,667755,134,28
745507,5,top,double,592273,527048,108,29
745507,5,top,field_out,641432,527048,108,30
745507,5,top,single,666176,527048,108,31
745507,5,top,single,687263,527048,108,32
745507,5,top,strikeout,501303,527048,108,33
745507,5,top,field_out,657061,527048,108,34
745507,5,bottom,field_out,669261,667755,134,35
745507,5,bottom,double,663698,667755,134,36
745507,5,bottom,field_out,675961,667755,134,37
745507,5,bottom,walk,457705,667755,134,38
745507,5,bottom,walk,668804,667755,134,39
745507,5,bottom,double,665833,667755,134,40
745507,5,bottom,single,656582,667755,134,41
745507,5,bottom,field_out,642133,643256,134,42
745507,6,top,single,621493,527048,108,43
745507,6,top,single,607680,527048,108,44
745507,6,top,single,681351,682847,108,45
745507,6,top,double,592273,682847,108,46
745507,6,top,sac_fly,641432,682847,108,47
745507,6,top,field_out,666176,682847,108,48
745507,6,top,field_out,687263,682847,108,49
745507,6,bottom,strikeout,669707,643256,134,50
745507,6,bottom,strikeout,669261,643256,134,51
745507,6,bottom,strikeout,663698,643256,134,52
745507,7,top,strikeout,501303,547973,108,53
745507,7,top,strikeout,657061,547973,108,54
745507,7,top,walk,621493,547973,108,55
745507,7,top,pickoff_1b,607680,547973,108,56
745507,7,bottom,strikeout,675961,519043,134,57
745507,7,bottom,strikeout,457705,519043,134,58
745507,7,bottom,field_out,668804,519043,134,59
745507,8,top,strikeout,607680,670059,108,60
745507,8,top,field_out,681351,670059,108,61
745507,8,top,strikeout,694384,670059,108,62
745507,8,bottom,field_out,665833,519043,134,63
745507,8,bottom,field_out,656582,472610,134,64
745507,8,bottom,field_out,642133,472610,134,65
745507,9,top,field_out,641432,676702,108,66
745507,9,top,field_out,666176,676702,108,67
745507,9,top,field_out,687263,676702,108,68
745507,9,bottom,field_out,669707,608032,134,69
745507,9,bottom,strikeout,669261,608032,134,70
745507,9,bottom,strikeout,663698,608032,134,71
745584,1,top,strikeout,543807,605400,141,0
745584,1,top,field_out,662139,605400,141,1
745584,1,top,single,665489,605400,141,2
745584,1,top,field_out,457759,605400,141,3
745584,1,bottom,field_out,656941,605135,143,4
745584,1,bottom,field_out,592663,605135,143,5
745584,1,bottom,field_out,547180,605135,143,6
745584,2,top,field_out,643376,605400,141,7
745584,2,top,strikeout,666182,605400,141,8
745584,2,top,double,676914,605400,141,9
745584,2,top,field_out,643396,605400,141,10
745584,2,bottom,field_out,664761,605135,143,11
745584,2,bottom,field_out,669016,605135,143,12
745584,2,bottom,strikeout,592206,605135,143,13
745584,3,top,strikeout,595281,605400,141,14
745584,3,top,single,543807,605400,141,15
745584,3,top,strikeout,662139,605400,141,16
745584,3,top,single,665489,605400,141,17
745584,3,top,field_out,457759,605400,141,18
745584,3,bottom,walk,681082,605135,143,19
745584,3,bottom,walk,624641,605135,143,20
745584,3,bottom,single,679032,605135,143,21
745584,3,bottom,sac_fly,656941,605135,143,22
745584,3,bottom,force_out,592663,605135,143,23
745584,3,bottom,field_out,547180,605135,143,24
745584,4,top,field_out,643376,605400,141,25
745584,4,top,field_out,666182,605400,141,26
745584,4,top,strikeout,676914,605400,141,27
