gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824673,2026-06-05,17,Wrigley Field,112,137,665795,592662
824271,2026-06-05,2394,Comerica Park,116,136,664285,693433
823455,2026-06-05,2681,Citizens Bank Park,143,145,666200,641743
823538,2026-06-05,3313,Yankee Stadium,147,111,677960,543243
822810,2026-06-05,14,Rogers Centre,141,110,702056,687064
823860,2026-06-05,4169,loanDepot park,146,139,687473,656876
824914,2026-06-05,4705,Truist Park,144,134,527048,656605
824186,2026-06-05,2392,Daikin Park,117,133,663567,678022
823049,2026-06-05,2889,Busch Stadium,138,113,681517,663903
822892,2026-06-05,5325,Globe Life Field,140,114,677958,800048
823699,2026-06-05,3312,Target Field,142,118,805673,608379
824350,2026-06-05,19,Coors Field,115,158,663372,687075
825073,2026-06-05,15,Chase Field,109,120,518876,656492
823293,2026-06-05,2680,Petco Park,135,121,650633,681035
823943,2026-06-05,22,UNIQLO Field at Dodger Stadium,119,108,808963,672282
