gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
823619,2026-06-11,3289,Citi Field,121,138,681035,690928
824265,2026-06-11,2394,Comerica Park,116,142,672456,805673
823855,2026-06-11,4169,loanDepot park,146,109,663969,518876
824101,2026-06-11,7,Kauffman Stadium,118,140,608379,677958
824346,2026-06-11,19,Coors Field,115,112,663372,665795
823371,2026-06-11,31,PNC Park,134,119,656605,680736
824827,2026-06-11,2,Oriole Park at Camden Yards,110,136,680694,693433
824589,2026-06-11,4,Rate Field,145,144,641743,527048
