gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824818,2026-07-01,2,Oriole Park at Camden Yards,110,145,665152,702273
824419,2026-07-01,5,Progressive Field,114,140,676282,669022
824740,2026-07-01,3,Fenway Park,111,120,801139,695418
823530,2026-07-01,3313,Yankee Stadium,147,116,701542,675512
824660,2026-07-01,17,Wrigley Field,112,135,607067,621111
822791,2026-07-01,14,Rogers Centre,141,121,680755,642547
823446,2026-07-01,2681,Citizens Bank Park,143,134,554430,694973
824905,2026-07-01,4705,Truist Park,144,138,625643,700241
824094,2026-07-01,7,Kauffman Stadium,118,139,607625,663556
824174,2026-07-01,2392,Daikin Park,117,142,837227,671737
823767,2026-07-01,32,American Family Field,158,113,675660,671096
824337,2026-07-01,19,Coors Field,115,146,607536,676974
824985,2026-07-01,2529,Sutter Health Park,133,119,669372,
825064,2026-07-01,15,Chase Field,109,137,668678,686790
