gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
824593,2026-05-30,4,Rate Field,145,116,641743,664285
822731,2026-05-30,3309,Nationals Park,120,135,656492,650633
822893,2026-05-30,5325,Globe Life Field,140,118,677958,607625
824833,2026-05-30,2,Oriole Park at Camden Yards,110,141,687064,702056
823375,2026-05-30,31,PNC Park,134,142,656605,641927
824431,2026-05-30,5,Progressive Field,114,111,800048,543243
822975,2026-05-30,12,Tropicana Field,139,108,656876,672282
823622,2026-05-30,3289,Citi Field,121,146,681035,663969
824190,2026-05-30,2392,Daikin Park,117,158,663567,687075
823054,2026-05-30,2889,Busch Stadium,138,112,681517,676962
824513,2026-05-30,2602,Great American Ball Park,113,144,663903,527048
824352,2026-05-30,19,Coors Field,115,137,663372,605288
825000,2026-05-30,2529,Sutter Health Park,133,147,669372,677960
823132,2026-05-30,680,T-Mobile Park,136,109,693433,669194
823945,2026-05-30,22,UNIQLO Field at Dodger Stadium,119,143,808963,666200
