gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
777592,2025-06-08,2523,George M. Steinbrenner Field,139,146,656876,685107
777586,2025-06-08,32,American Family Field,158,135,642547,686701
777596,2025-06-08,3309,Nationals Park,120,140,592866,656641
777595,2025-06-08,31,PNC Park,134,143,694973,650911
777602,2025-06-08,2602,Great American Ball Park,113,109,663903,668678
777594,2025-06-08,2394,Comerica Park,116,112,656427,690990
777591,2025-06-08,5,Progressive Field,114,117,676440,687888
777585,2025-06-08,3312,Target Field,142,141,657746,670102
777590,2025-06-08,4,Rate Field,145,118,678024,547179
777582,2025-06-08,2889,Busch Stadium,138,119,700241,477132
777583,2025-06-08,19,Coors Field,115,121,801403,656731
777588,2025-06-08,2529,Sutter Health Park,133,110,682052,608372
777587,2025-06-08,2395,Oracle Park,137,144,694738,675911
777589,2025-06-08,1,Angel Stadium,108,136,542881,669923
777593,2025-06-08,3313,Yankee Stadium,147,111,607074,690928
