gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
822750,2026-04-19,3309,Nationals Park,120,137,676571,592662
823393,2026-04-19,31,PNC Park,134,139,656605,663556
823556,2026-04-19,3313,Yankee Stadium,147,118,677960,666142
824452,2026-04-19,5,Progressive Field,114,110,676282,669432
823881,2026-04-19,4169,loanDepot park,146,158,691587,694819
824205,2026-04-19,2392,Daikin Park,117,138,681347,669461
823718,2026-04-19,3312,Target Field,142,113,641927,663903
824691,2026-04-19,17,Wrigley Field,112,121,665871,668964
824371,2026-04-19,19,Coors Field,115,119,547179,808963
825018,2026-04-19,2529,Sutter Health Park,133,145,605488,702273
824047,2026-04-19,1,Angel Stadium,108,135,700712,650633
823150,2026-04-19,680,T-Mobile Park,136,140,693433,669022
825100,2026-04-19,15,Chase Field,109,141,669194,592332
824777,2026-04-19,3,Fenway Park,111,116,676979,664285
823475,2026-04-19,2681,Citizens Bank Park,143,144,691725,656550
