gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
777370,2025-06-25,4,Rate Field,145,109,680732,668678
777361,2025-06-25,32,American Family Field,158,134,694819,694973
777362,2025-06-25,1,Angel Stadium,108,111,579328,690916
777360,2025-06-25,2680,Petco Park,135,120,601713,669022
777365,2025-06-25,2,Oriole Park at Camden Yards,110,140,687064,594798
777371,2025-06-25,2394,Comerica Park,116,133,656427,682052
777368,2025-06-25,5,Progressive Field,114,141,668909,453286
777369,2025-06-25,3289,Citi Field,121,144,605280,800311
777367,2025-06-25,2602,Great American Ball Park,113,147,663903,608331
777359,2025-06-25,7,Kauffman Stadium,118,139,608379,656876
777363,2025-06-25,3312,Target Field,142,136,657746,669923
777357,2025-06-25,2889,Busch Stadium,138,112,607200,571510
777366,2025-06-25,2392,Daikin Park,117,143,676467,554430
777358,2025-06-25,19,Coors Field,115,119,801403,808967
777355,2025-06-25,2395,Oracle Park,137,146,657277,665795
