gamePk,date,venue_id,venue_name,home_id,away_id,home_sp_id,away_sp_id
777980,2025-05-10,3309,Nationals Park,120,138,592866,669467
777985,2025-05-10,31,PNC Park,134,144,571760,700363
777972,2025-05-10,2529,Sutter Health Park,133,147,676664,607074
777981,2025-05-10,2523,George M. Steinbrenner Field,139,158,671737,668964
777987,2025-05-10,2394,Comerica Park,116,140,656427,594798
777983,2025-05-10,5,Progressive Field,114,143,676440,624133
777979,2025-05-10,2392,Daikin Park,117,113,621121,663903
777977,2025-05-10,7,Kauffman Stadium,118,111,666142,676979
777978,2025-05-10,4,Rate Field,145,146,681343,665795
777982,2025-05-10,3289,Citi Field,121,112,656731,641745
777974,2025-05-10,3312,Target Field,142,137,657746,657277
777975,2025-05-10,15,Chase Field,109,119,669203,669160
777976,2025-05-10,19,Coors Field,115,135,687134,663568
777973,2025-05-10,1,Angel Stadium,108,110,686799,502043
777970,2025-05-10,680,T-Mobile Park,136,141,688138,670102
