match_id,season,match_date,started,minute_on,minute_off,match_minutes,messi_minutes
70303,2014/2015,2015-01-11,1,,,93.35,93.35
266148,2014/2015,2015-02-21,1,,,94.13,94.13
266230,2014/2015,2015-01-18,1,,,92.07,92.07
266525,2014/2015,2015-04-18,1,,,93.85,93.85
266531,2014/2015,2015-04-25,1,,,93.92,93.92
266741,2014/2015,2015-02-15,1,,,92.0,92.0
266320,2014/2015,2014-12-07,1,,,92.05,92.05
266846,2014/2015,2014-12-20,1,,,92.02,92.02
266631,2014/2015,2015-05-17,1,,,93.77,93.77
266560,2014/2015,2014-11-30,1,,,94.93,94.93
266871,2014/2015,2015-02-08,1,,,91.97,91.97
266770,2014/2015,2014-09-21,1,,,91.95,91.95
266921,2014/2015,2014-08-24,1,,,93.05,93.05
267499,2014/2015,2014-11-08,1,,,93.03,93.03
266142,2014/2015,2015-04-11,1,,,93.02,93.02
266066,2013/2014,2014-03-02,1,,,92.93,92.93
267368,2013/2014,2014-04-05,1,,,93.08,93.08
266967,2014/2015,2015-03-14,1,,,93.0,93.0
70298,2013/2014,2013-09-01,1,,,93.03,93.03
70302,2013/2014,2013-09-21,1,,,92.28,92.28
70291,2013/2014,2014-01-26,1,,,93.07,93.07
267138,2013/2014,2014-04-12,1,,,94.05,94.05
266929,2014/2015,2015-04-05,1,,,93.72,93.72
266074,2013/2014,2014-03-16,1,,,92.02,92.02
267520,2013/2014,2013-09-24,1,,80.23,92.03,80.23
70301,2013/2014,2013-09-14,1,,,95.15,95.15
266201,2013/2014,2014-05-11,1,,,93.12,93.12
70288,2013/2014,2014-01-19,1,,,93.9,93.9
267567,2013/2014,2014-04-20,1,,,92.98,92.98
267675,2013/2014,2014-02-09,1,,,93.07,93.07
265918,2013/2014,2014-02-15,1,,73.65,91.97,73.65
70289,2013/2014,2014-04-27,1,,,93.03,93.03
266274,2013/2014,2014-03-26,1,,,92.98,92.98
70293,2013/2014,2013-10-26,1,,,93.12,93.12
70306,2013/2014,2014-03-29,1,,,94.22,94.22
266256,2013/2014,2014-05-17,1,,,93.02,93.02
70283,2013/2014,2013-11-01,1,,,93.08,93.08
266613,2013/2014,2014-02-01,1,,,94.05,94.05
70277,2013/2014,2013-08-18,1,,70.45,92.0,70.45
266883,2013/2014,2013-11-10,1,,20.97,92.22,20.97
266603,2013/2014,2014-03-08,1,,,94.38,94.38
265857,2013/2014,2014-03-23,1,,,93.0,93.0
265837,2013/2014,2014-02-22,1,,,93.12,93.12
266491,2013/2014,2014-05-03,1,,,93.62,93.62
266462,2013/2014,2013-10-19,0,67.5,,93.07,25.57
265830,2013/2014,2014-01-11,0,45.0,,93.0,48.0
266015,2012/2013,2012-12-22,1,,,93.9,93.9
267192,2013/2014,2013-10-29,1,,,92.08,92.08
70263,2012/2013,2012-12-01,1,,,92.02,92.02
70281,2012/2013,2013-05-05,0,55.97,,93.35,37.38
70308,2012/2013,2012-11-03,1,,,93.08,93.08
70270,2012/2013,2012-09-22,1,,,93.05,93.05
70282,2012/2013,2013-02-03,1,,,93.0,93.0
266724,2012/2013,2012-11-11,1,,,93.15,93.15
70272,2012/2013,2013-03-02,1,,,93.6,93.6
70304,2012/2013,2012-10-20,1,,,92.8,92.8
266420,2013/2014,2013-09-28,1,,28.23,93.08,28.23
70256,2012/2013,2013-03-30,1,,,93.05,93.05
266433,2012/2013,2013-01-06,1,,,92.05,92.05
70296,2012/2013,2012-12-16,1,,,91.87,91.87
70259,2012/2013,2012-08-19,1,,,92.2,92.2
70276,2012/2013,2012-10-27,1,,,92.27,92.27
70297,2012/2013,2013-02-10,1,,,92.33,92.33
70280,2012/2013,2012-11-25,1,,,91.98,91.98
70284,2012/2013,2013-05-12,1,,,93.12,93.12
70300,2012/2013,2012-10-07,1,,,93.12,93.12
70287,2012/2013,2013-01-19,1,,,92.18,92.18
70309,2012/2013,2012-11-17,1,,,92.03,92.03
70275,2012/2013,2012-09-29,1,,,95.03,95.03
70295,2012/2013,2012-12-09,1,,,93.28,93.28
70260,2012/2013,2013-01-27,1,,,92.2,92.2
70286,2012/2013,2012-09-02,1,,,93.45,93.45
70307,2012/2013,2013-03-17,1,,,93.13,93.13
70305,2012/2013,2013-03-09,0,61.55,,92.98,31.43
70294,2012/2013,2013-02-16,1,,,94.15,94.15
266827,2012/2013,2013-01-13,1,,,92.05,92.05
70271,2012/2013,2013-02-23,1,,,92.97,92.97
70292,2012/2013,2012-09-15,0,58.5,,94.33,35.83
69329,2011/2012,2011-10-22,1,,,97.7,97.7
70262,2012/2013,2012-08-26,1,,,94.33,94.33
70219,2011/2012,2012-04-07,1,,,94.22,94.22
70220,2011/2012,2011-09-17,1,,,91.08,91.08
69331,2011/2012,2011-11-19,1,,,91.82,91.82
69328,2011/2012,2012-02-19,1,,,92.33,92.33
69337,2011/2012,2012-02-26,1,,,93.2,93.2
267502,2012/2013,2013-04-27,0,58.05,,93.25,35.2
69332,2011/2012,2011-11-29,1,,,90.27,90.27
69316,2011/2012,2012-02-04,1,,,94.15,94.15
69335,2011/2012,2012-01-22,1,,,92.22,92.22
69325,2011/2012,2012-03-24,1,,,93.97,93.97
70225,2011/2012,2012-03-20,1,,,93.07,93.07
69322,2011/2012,2012-03-11,1,,,92.97,92.97
70223,2011/2012,2011-09-21,1,,,93.53,93.53
69333,2011/2012,2011-12-03,1,,,91.17,91.17
69297,2011/2012,2011-09-24,1,,,91.82,91.82
69264,2011/2012,2011-09-10,0,61.83,,93.08,31.25
69293,2011/2012,2011-10-15,1,,,91.63,91.63
69265,2011/2012,2011-10-02,1,,,93.0,93.0
69330,2011/2012,2011-11-06,1,,,93.1,93.1
69340,2011/2012,2012-05-02,1,,,93.62,93.62
69324,2011/2012,2012-04-21,1,,,94.18,94.18
69334,2011/2012,2011-12-10,1,,,94.47,94.47
69315,2011/2012,2011-11-26,1,,,93.42,93.42
69343,2011/2012,2012-04-10,1,,,91.92,91.92
69319,2011/2012,2012-05-12,1,,,93.37,93.37
69312,2011/2012,2012-01-08,1,,,93.88,93.88
69326,2011/2012,2012-03-17,1,,,93.05,93.05
69314,2011/2012,2011-10-29,1,,,92.78,92.78
69320,2011/2012,2012-05-05,1,,,93.02,93.02
69336,2011/2012,2012-02-11,1,,,95.13,95.13
69327,2011/2012,2012-01-15,1,,,92.05,92.05
69318,2011/2012,2011-10-25,1,,,93.63,93.63
69338,2011/2012,2012-01-28,1,,,93.05,93.05
70224,2011/2012,2012-04-29,1,,,91.77,91.77
69323,2011/2012,2012-03-31,1,,,92.03,92.03
69307,2010/2011,2010-12-04,1,,,92.03,92.03
69268,2011/2012,2011-08-29,1,,,90.13,90.13
70221,2011/2012,2012-04-14,1,,,93.07,93.07
69304,2010/2011,2011-04-02,0,52.43,,94.43,42.0
69276,2010/2011,2011-02-05,1,,,92.88,92.88
69271,2010/2011,2011-04-23,0,59.42,,94.38,34.97
69303,2010/2011,2011-03-19,1,,,93.08,93.08
69295,2010/2011,2011-01-22,1,,,92.03,92.03
69278,2010/2011,2011-01-16,1,,,92.2,92.2
69270,2010/2011,2010-11-07,1,,,93.02,93.02
69305,2010/2011,2011-04-09,1,,,92.35,92.35
69287,2010/2011,2010-09-11,1,,,94.12,94.12
69296,2010/2011,2011-01-29,1,,,92.9,92.9
69260,2010/2011,2010-10-16,1,,,94.7,94.7
69246,2010/2011,2011-04-30,1,,,93.02,93.02
69269,2010/2011,2010-09-19,1,,94.5,95.72,94.5
69245,2010/2011,2011-04-16,1,,,93.98,93.98
69302,2010/2011,2010-12-12,1,,,91.65,91.65
69283,2010/2011,2011-02-26,1,,,91.58,91.58
69274,2010/2011,2011-03-02,1,,,93.03,93.03
69282,2010/2011,2011-02-20,1,,,93.45,93.45
69286,2010/2011,2010-08-29,1,,,92.17,92.17
69280,2010/2011,2011-01-08,1,,,92.03,92.03
69291,2010/2011,2011-03-13,1,,,92.52,92.52
69236,2010/2011,2010-10-03,1,,,94.03,94.03
69308,2010/2011,2010-11-13,1,,,93.25,93.25
69300,2010/2011,2011-03-05,1,,,94.22,94.22
69289,2010/2011,2010-10-30,1,,,90.48,90.48
69299,2010/2011,2010-11-29,1,,,94.18,94.18
69272,2010/2011,2011-05-11,1,,,91.18,91.18
69263,2010/2011,2010-10-23,1,,,93.13,93.13
69275,2010/2011,2010-12-18,1,,,92.02,92.02
69234,2010/2011,2011-05-08,1,,,92.02,92.02
69238,2009/2010,2010-02-27,1,,,93.08,93.08
69248,2010/2011,2011-02-12,1,,,95.25,95.25
69239,2009/2010,2010-05-08,1,,,93.37,93.37
69243,2009/2010,2010-01-16,1,,,92.32,92.32
69306,2010/2011,2010-11-20,1,,,89.87,89.87
69241,2009/2010,2010-05-04,1,,,92.78,92.78
69253,2009/2010,2009-10-25,1,,,90.72,90.72
69277,2009/2010,2009-10-31,1,,,93.52,93.52
69229,2009/2010,2009-09-12,0,57.68,,92.03,34.35
69250,2009/2010,2009-11-07,0,50.4,,93.3,42.9
69257,2009/2010,2010-03-24,1,,,93.3,93.3
69242,2009/2010,2010-05-16,1,,,90.45,90.45
69256,2009/2010,2009-10-03,1,,,93.33,93.33
69244,2009/2010,2010-05-01,1,,89.5,93.37,89.5
69218,2009/2010,2009-12-05,1,,,92.8,92.8
69219,2009/2010,2010-01-10,1,,,90.45,90.45
69210,2009/2010,2010-01-23,1,,,92.0,92.0
69298,2009/2010,2010-03-27,0,50.37,,94.28,43.92
69259,2009/2010,2010-04-10,1,,,94.13,94.13
69220,2009/2010,2010-01-30,1,,,93.43,93.43
69237,2009/2010,2010-02-14,1,,,93.22,93.22
69252,2009/2010,2009-10-17,1,,,94.25,94.25
69214,2009/2010,2010-04-24,0,51.58,,93.12,41.53
69255,2009/2010,2009-09-26,1,,,92.47,92.47
69224,2009/2010,2010-03-14,1,,88.25,91.25,88.25
69226,2009/2010,2010-03-06,1,,,94.47,94.47
69213,2009/2010,2010-04-17,1,,,93.03,93.03
69240,2009/2010,2010-02-06,1,,,94.33,94.33
69262,2009/2010,2009-11-29,1,,,93.12,93.12
69233,2009/2010,2010-02-20,1,,,91.85,91.85
69292,2009/2010,2009-09-19,1,,,94.32,94.32
69227,2009/2010,2010-03-21,1,,,92.23,92.23
69222,2008/2009,2009-04-11,1,,,92.95,92.95
69247,2009/2010,2010-04-03,1,,,90.57,90.57
69267,2009/2010,2009-12-02,0,54.45,,93.37,38.92
69221,2009/2010,2010-04-14,1,,,91.8,91.8
69288,2009/2010,2009-11-21,1,,75.42,93.1,75.42
69189,2008/2009,2009-01-24,1,,,92.18,92.18
69211,2008/2009,2008-09-27,1,,,98.67,98.67
69254,2009/2010,2009-09-22,1,,63.55,91.17,63.55
69225,2008/2009,2008-12-13,1,,,93.32,93.32
69235,2008/2009,2008-11-01,1,,78.93,92.63,78.93
69212,2008/2009,2008-10-04,1,,69.83,90.92,69.83
69138,2008/2009,2008-09-21,1,,,91.05,91.05
69216,2008/2009,2009-03-07,1,,,94.17,94.17
69209,2008/2009,2009-02-01,0,58.78,,94.0,35.22
69231,2008/2009,2009-02-08,1,,,92.93,92.93
69223,2008/2009,2009-04-18,1,,,92.08,92.08
69195,2008/2009,2009-02-14,0,56.88,,93.97,37.08
69232,2008/2009,2008-10-25,1,,,92.3,92.3
69273,2008/2009,2009-04-04,0,58.9,,94.83,35.93
69217,2008/2009,2009-05-10,1,,89.37,94.0,89.37
69142,2008/2009,2009-03-22,1,,,92.17,92.17
69251,2008/2009,2009-04-25,1,,,94.85,94.85
69185,2008/2009,2009-03-01,1,,,94.02,94.02
69139,2008/2009,2009-02-21,1,,,92.95,92.95
69171,2008/2009,2008-11-29,1,,,93.23,93.23
69147,2008/2009,2008-08-31,1,,,93.9,93.9
69215,2008/2009,2008-09-13,0,58.62,,93.97,35.35
69177,2008/2009,2009-03-15,1,,,91.98,91.98
69183,2008/2009,2009-01-17,1,,,91.1,91.1
69249,2008/2009,2009-05-02,1,,,90.12,90.12
69285,2008/2009,2008-11-16,1,,,93.05,93.05
69228,2008/2009,2008-12-21,1,,,95.1,95.1
69149,2008/2009,2008-12-06,1,,81.6,93.17,81.6
69146,2007/2008,2008-02-09,1,,,94.83,94.83
69151,2007/2008,2007-09-29,1,,51.42,91.87,51.42
69279,2008/2009,2008-11-08,1,,,91.75,91.75
69230,2008/2009,2009-01-11,1,,,94.45,94.45
69207,2008/2009,2008-09-24,1,,,93.28,93.28
69169,2007/2008,2007-09-02,1,,,92.97,92.97
68360,2007/2008,2008-02-24,1,,80.92,90.75,80.92
69186,2007/2008,2008-05-17,1,,,92.9,92.9
69181,2007/2008,2008-01-27,1,,,93.22,93.22
69144,2007/2008,2007-10-07,1,,,93.12,93.12
68365,2007/2008,2008-03-01,0,56.55,,93.13,36.58
69178,2007/2008,2007-11-10,1,,71.78,94.93,71.78
69180,2007/2008,2007-08-26,1,,61.38,93.43,61.38
68364,2007/2008,2007-10-20,1,,,93.77,93.77
69158,2007/2008,2007-10-28,0,74.5,,93.72,19.22
68359,2007/2008,2008-04-19,0,45.0,,93.3,48.3
68363,2007/2008,2007-11-01,1,,,93.02,93.02
69148,2007/2008,2007-09-22,1,,89.23,93.37,89.23
69166,2007/2008,2007-11-04,1,,,93.42,93.42
69187,2007/2008,2008-02-03,1,,67.27,94.2,67.27
69184,2007/2008,2007-11-24,1,,,91.83,91.83
69170,2007/2008,2007-12-09,1,,,93.8,93.8
69141,2007/2008,2008-05-04,1,,,90.2,90.2
68366,2007/2008,2008-05-11,1,,62.63,94.08,62.63
69173,2007/2008,2008-01-20,0,65.8,,93.15,27.35
68356,2007/2008,2007-12-01,1,,,92.37,92.37
69182,2007/2008,2008-02-16,1,,79.78,94.0,79.78
68336,2006/2007,2007-06-17,1,,81.58,91.4,81.58
68358,2007/2008,2008-04-12,0,64.05,,94.05,30.0
68361,2007/2008,2008-05-07,1,,,93.02,93.02
69179,2006/2007,2007-04-07,1,,,92.9,92.9
69145,2007/2008,2007-12-15,1,,44.6,92.08,44.6
68334,2006/2007,2007-03-03,1,,70.47,95.07,70.47
69176,2006/2007,2007-05-20,1,,,91.78,91.78
68326,2006/2007,2006-08-28,1,,,94.62,94.62
68332,2006/2007,2007-02-18,0,55.72,,94.25,38.53
68335,2006/2007,2007-03-10,1,,,94.22,94.22
68333,2006/2007,2007-02-25,0,66.2,,92.83,26.63
68330,2006/2007,2006-10-22,1,,,88.63,88.63
68329,2006/2007,2006-10-15,1,,,94.72,94.72
69162,2006/2007,2007-05-13,1,,74.37,94.47,74.37
68341,2006/2007,2007-03-17,1,,,91.5,91.5
69165,2006/2007,2007-06-09,1,,,93.7,93.7
69155,2006/2007,2007-04-22,1,,,93.4,93.4
69154,2006/2007,2007-02-11,0,67.87,,91.92,24.05
69156,2006/2007,2007-04-29,1,,,94.02,94.02
69159,2006/2007,2007-04-15,1,,,93.93,93.93
69160,2006/2007,2007-05-05,1,,92.53,94.5,92.53
68340,2006/2007,2006-09-17,1,,64.48,93.02,64.48
68331,2006/2007,2006-11-12,1,,22.65,96.83,22.65
68328,2006/2007,2006-09-24,1,,84.23,93.35,84.23
68347,2006/2007,2006-09-30,1,,,89.68,89.68
69174,2006/2007,2006-11-04,1,,,93.13,93.13
69157,2006/2007,2007-05-26,1,,89.68,93.83,89.68
68323,2005/2006,2005-12-20,1,,66.33,92.0,66.33
